108	Phantom Of The Opera Madley,  The	Andrew Lloyd Weber	Johnnie Vinson
109	Power And Glory March	John Philip Sousa	    Trio contains  "Onward Christian Soldiers"
110	Proudly We Play   (Concert March)  	Everett Maxwell	Tom C Rhodes
111	Radio Rag (Complete Band with Dixieland Combo)	 James "Red" Mc Loed	
112	Rainbows	Jack Bullock	
113	Rites Of Tamburo	Robert W Smith	
114	Rolling Thunder March	Henry Filmore	Andrew Glover
115	Romanesque	James Swearingen	
116	Route  66	Bobby Troup	Jerry Nowak
117	Sabre and Spurs  (March)	John Philip Sousa	Keith Brion & Loras Schissel
118	Safari,  Overture	G E  Holmes	
119	Salute  A.S.B.D.A.	Kenneth S Williams	
120	Salute To Louis Armstrong		Eric Osterling
121	Staint Louis Blues	W C  Handy	Jay Bocook
122	Saint Louis Blues March	W C Handy 	Jerry Gray (Adaptation by Perry Burgett)
123	Saint Petersburg March	Johnnie Vinson	
124	Sax Attack	Mark Williams	
125	Saxology	Eric Osterling	
126	Shenandoah		James D Ployhar
127	Simple Gifts		Andrew Balent
128	Smokey Joe's Café		Johnnie Vinson
129	Someone To Watch Over Me	George & Ira Gershwin	Warren Barker
130	Sound of Music, The  (Highlights From)	Rodgers & Hammerstein	Johnnie Vinson
131	Sousa Spectacular	John Philip Sousa	David Shaffer
132	Stars And Stripes Forever, The	John Philip Sousa	 (Original Sousa Arrangement)
133	Stardust	Music: Hoagy Carmichael;  Words: Mitchell Parish)	Warren Barker
134	Summertime    (Two sets but, only one score)	             Music: Gershwin;  Words: Heyward	Calvin Custer
135	Symphonette For Band	Frank Erickson	
136	Symphonic Overture	Charles Carter	
137	Symphony Of Sit-Coms,  A		Paul Jennings
138	Tailgate Rag	James D Ployhar	
139	That Old Black Magic	Johnny Mercer & Harold Arlen	Bill Moffit
140	Themes Like Old Times  III		Warren Barker
141	They Can't Take That Away From Me	George & Ira Gershwin	Warren Barker
142	Toccata For Band	Frank Erickson	
143	Triad	J J  Richards	Andrew Glover
144	Trombone Blues	Fred Jewell	Andrew Glover
145	Trumpeter's Lullaby,  A - 1         (Ford)	Leroy Anderson	John Ford
146	Twelve Chorales For Developing Band	Quincy  C  Hilliard	
147	Variants On An English Hymn Tune	Philip Sparke	
148	Washington Greys   (March)	Claudio  S  Grafulla	Loras  J  Schissel
149	We Are Saved  (Warm-up Chorale)	David  P Miller	
150	West Side Story	Music: Bernstein;  Words: Sondheim	Jay Bocook
151	Whistler and his Dog	Arthur Pryor	James Barnes
152	William Tell Overture	G  Rossini	Robert Longfield
153	Windemere	James Swearingen	
154	With Quiet Courage	Larry Daehn	
155	Within These Hallowed Halls	James Swearingen	
156	Yakety Sax	Boots Randolph	Johnnie Vinson
157	Zampa	L  J  F  Hérold	V  F  Saefranek
158	Morceau Symphonique  (Trombone Solo & Band)	Alexandre Guilmant	Wesley Shepard
159	Nashville Banner March,  The	Francis Craig	Bill McElhiney
160	Fanfare for the Common Man	Aaron Copeland	Terry Ownby
161	Bugler's Holiday	Leroy Anderson	Transcribed by Michael Edwards
162	Trumpeter's Lullaby,  A - 2       (Lang)	Leroy Anderson	Philip J. Lang
