001	U.S. Field Artillery March, The	John Philip Sousa	M.L. Lake
002	U.S. Air Force March	Robert Crawford	David Bennett
003	Marines Hymn, The		David Bennett
004	Coast Guards March	Karl L.King	James Swearingen
005	War Eagle		
006	Alabama, Yea	Ethelred, Lundy (EPP)Sikes	A. Ferguson
007	UNA Fight Song		Yoder, Sample, Roberson, Jones
008	UAB Fight Song	J. Hearn	D. Jones
